"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2020","1,573.70","1,570.66","1,577.92","1,567.10","16.85B","-0.06%"
"Jan 22, 2020","1,574.59","1,579.25","1,580.34","1,566.86","19.60B","-0.02%"
"Jan 21, 2020","1,574.94","1,584.17","1,587.85","1,573.26","20.57B","-0.89%"
"Jan 20, 2020","1,589.11","1,597.50","1,598.70","1,586.73","18.03B","-0.71%"
"Jan 17, 2020","1,600.48","1,600.28","1,604.28","1,595.96","18.76B","0.29%"
"Jan 16, 2020","1,595.87","1,582.77","1,598.38","1,581.75","18.70B","0.94%"
"Jan 15, 2020","1,581.05","1,582.96","1,587.77","1,575.98","19.54B","-0.37%"
"Jan 14, 2020","1,586.90","1,589.68","1,592.84","1,579.83","19.13B","0.05%"
"Jan 13, 2020","1,586.16","1,586.13","1,588.79","1,579.34","18.88B","0.35%"
"Jan 10, 2020","1,580.63","1,583.48","1,584.16","1,573.80","16.98B","0.06%"
"Jan 09, 2020","1,579.64","1,572.74","1,581.50","1,568.16","17.45B","1.31%"
"Jan 08, 2020","1,559.27","1,569.82","1,572.03","1,555.75","19.79B","-1.64%"
"Jan 07, 2020","1,585.23","1,578.52","1,585.44","1,570.04","20.38B","1.07%"
"Jan 06, 2020","1,568.50","1,584.13","1,585.56","1,565.93","22.62B","-1.66%"
"Jan 03, 2020","1,594.97","1,596.95","1,604.43","1,592.90","18.76B","-0.05%"
"Jan 02, 2020","1,595.82","1,584.35","1,597.92","1,583.18","17.74B","1.01%"
"Dec 30, 2019","1,579.84","1,581.05","1,583.86","1,575.92","8.44B","0.10%"
"Dec 27, 2019","1,578.22","1,583.46","1,588.02","1,568.05","12.81B","-0.05%"
"Dec 26, 2019","1,579.03","1,573.81","1,579.33","1,573.44","11.06B","0.38%"
"Dec 25, 2019","1,573.00","1,566.59","1,574.41","1,564.85","10.00B","0.28%"
"Dec 24, 2019","1,568.63","1,575.03","1,576.56","1,567.27","14.10B","-0.31%"
"Dec 23, 2019","1,573.57","1,574.85","1,581.40","1,571.30","14.89B","0.04%"
"Dec 20, 2019","1,572.92","1,572.61","1,576.43","1,566.77","17.13B","-0.04%"
"Dec 19, 2019","1,573.51","1,558.80","1,576.50","1,552.88","21.68B","0.62%"
"Dec 18, 2019","1,563.74","1,555.55","1,566.27","1,554.99","17.17B","0.97%"
"Dec 17, 2019","1,548.65","1,551.71","1,556.82","1,543.22","20.39B","-0.07%"
"Dec 16, 2019","1,549.74","1,572.64","1,573.41","1,549.69","18.16B","-1.54%"
"Dec 13, 2019","1,573.91","1,577.38","1,582.16","1,570.07","18.73B","0.64%"
"Dec 12, 2019","1,563.85","1,558.60","1,568.62","1,557.10","18.93B","0.78%"
"Dec 11, 2019","1,551.82","1,555.38","1,559.19","1,546.51","17.67B","-0.07%"
"Dec 09, 2019","1,552.96","1,559.84","1,559.93","1,548.01","17.70B","-0.39%"
"Dec 06, 2019","1,558.99","1,571.10","1,575.79","1,558.50","16.45B","-0.41%"
"Dec 04, 2019","1,565.45","1,562.22","1,570.39","1,556.51","21.73B","-0.14%"
"Dec 03, 2019","1,567.63","1,562.63","1,574.12","1,561.46","18.19B","-0.12%"
"Dec 02, 2019","1,569.53","1,588.59","1,589.34","1,566.68","22.70B","-1.32%"
"Nov 29, 2019","1,590.59","1,594.04","1,594.54","1,580.08","19.94B","-0.44%"
"Nov 28, 2019","1,597.68","1,607.97","1,608.67","1,595.11","18.69B","-0.60%"
"Nov 27, 2019","1,607.27","1,611.85","1,613.81","1,604.34","17.96B","-0.13%"
"Nov 26, 2019","1,609.38","1,618.15","1,620.60","1,608.64","20.30B","-0.34%"
"Nov 25, 2019","1,614.80","1,603.13","1,614.80","1,601.76","16.84B","1.07%"
"Nov 22, 2019","1,597.72","1,595.38","1,599.49","1,591.18","15.65B","0.37%"
"Nov 21, 2019","1,591.86","1,594.95","1,595.77","1,583.77","17.09B","-0.31%"
"Nov 20, 2019","1,596.83","1,599.42","1,603.57","1,595.01","16.07B","-0.65%"
"Nov 19, 2019","1,607.25","1,605.47","1,609.30","1,600.05","17.74B","-0.05%"
"Nov 18, 2019","1,608.00","1,605.19","1,609.99","1,596.80","17.55B","0.36%"
"Nov 15, 2019","1,602.23","1,613.30","1,615.48","1,595.32","19.77B","-0.45%"
"Nov 14, 2019","1,609.47","1,616.61","1,619.86","1,605.32","20.25B","-0.35%"
"Nov 13, 2019","1,615.14","1,621.91","1,627.45","1,610.93","20.31B","-0.68%"
"Nov 12, 2019","1,626.20","1,625.42","1,632.82","1,622.18","18.62B","0.25%"
"Nov 11, 2019","1,622.12","1,632.77","1,634.09","1,619.02","19.04B","-0.96%"
"Nov 08, 2019","1,637.85","1,641.55","1,642.50","1,634.50","18.84B","-0.18%"
"Nov 07, 2019","1,640.88","1,623.64","1,641.38","1,620.12","23.08B","1.04%"
"Nov 06, 2019","1,623.99","1,627.23","1,631.34","1,621.34","23.57B","-0.18%"
"Nov 05, 2019","1,626.87","1,628.73","1,629.77","1,617.72","19.67B","0.28%"
"Nov 04, 2019","1,622.25","1,601.90","1,624.83","1,600.95","25.62B","1.87%"
"Nov 01, 2019","1,592.52","1,600.73","1,603.53","1,589.72","19.55B","-0.56%"
"Oct 31, 2019","1,601.49","1,606.71","1,610.03","1,600.23","22.22B","-0.02%"
"Oct 30, 2019","1,601.83","1,594.40","1,601.83","1,589.48","22.29B","0.67%"
"Oct 29, 2019","1,591.21","1,601.44","1,605.45","1,588.82","19.49B","-0.33%"
"Oct 28, 2019","1,596.48","1,591.64","1,599.10","1,579.13","20.18B","0.20%"
"Oct 25, 2019","1,593.28","1,620.61","1,622.66","1,592.66","24.50B","-1.71%"
"Oct 24, 2019","1,620.97","1,636.07","1,637.49","1,617.59","19.89B","-0.64%"
"Oct 22, 2019","1,631.46","1,625.06","1,631.94","1,624.44","14.28B","0.66%"
"Oct 21, 2019","1,620.78","1,630.43","1,631.63","1,619.49","16.95B","-0.65%"
"Oct 18, 2019","1,631.43","1,634.40","1,637.36","1,623.38","27.91B","-0.08%"
"Oct 17, 2019","1,632.80","1,638.98","1,640.15","1,630.47","18.96B","-0.10%"
"Oct 16, 2019","1,634.46","1,629.88","1,636.51","1,628.87","18.96B","0.46%"
"Oct 15, 2019","1,627.01","1,631.05","1,633.89","1,621.73","19.27B","0.06%"
"Oct 11, 2019","1,626.00","1,613.47","1,627.26","1,613.08","20.08B","1.15%"
"Oct 10, 2019","1,607.50","1,614.07","1,615.25","1,606.71","18.14B","-0.54%"
"Oct 09, 2019","1,616.18","1,610.65","1,617.38","1,603.97","16.65B","0.25%"
"Oct 08, 2019","1,612.17","1,620.29","1,623.56","1,609.27","16.21B","-0.10%"
"Oct 07, 2019","1,613.71","1,611.74","1,616.06","1,607.32","15.56B","0.48%"
"Oct 04, 2019","1,605.96","1,613.70","1,615.33","1,603.61","13.19B","-0.29%"
"Oct 03, 2019","1,610.69","1,606.38","1,614.84","1,605.13","13.84B","-0.18%"
"Oct 02, 2019","1,613.64","1,617.83","1,619.34","1,608.89","14.55B","-0.64%"
"Oct 01, 2019","1,624.09","1,637.59","1,639.14","1,623.03","14.79B","-0.80%"
"Sep 30, 2019","1,637.22","1,643.13","1,645.06","1,634.10","15.02B","-0.40%"
"Sep 27, 2019","1,643.76","1,636.42","1,648.67","1,630.39","14.77B","0.43%"
"Sep 26, 2019","1,636.75","1,633.92","1,638.25","1,630.81","16.25B","0.51%"
"Sep 25, 2019","1,628.38","1,624.69","1,630.56","1,621.63","16.29B","-0.13%"
"Sep 24, 2019","1,630.50","1,623.60","1,634.04","1,622.75","17.03B","0.48%"
"Sep 23, 2019","1,622.79","1,635.31","1,636.16","1,620.77","14.27B","-0.82%"
"Sep 20, 2019","1,636.20","1,641.23","1,644.29","1,627.90","18.65B","-0.27%"
"Sep 19, 2019","1,640.66","1,656.66","1,660.81","1,638.47","18.77B","-0.81%"
"Sep 18, 2019","1,654.14","1,663.62","1,664.81","1,650.64","19.72B","-0.59%"
"Sep 17, 2019","1,663.93","1,661.59","1,670.62","1,659.14","20.37B","0.06%"
"Sep 16, 2019","1,662.93","1,666.77","1,668.77","1,658.65","17.59B","0.06%"
"Sep 13, 2019","1,661.96","1,664.37","1,667.49","1,655.95","20.92B","0.08%"
"Sep 12, 2019","1,660.68","1,678.32","1,679.03","1,659.42","21.12B","-0.80%"
"Sep 11, 2019","1,674.03","1,669.36","1,674.73","1,661.66","19.84B","0.49%"
"Sep 10, 2019","1,665.93","1,675.10","1,677.47","1,662.28","19.43B","-0.32%"
"Sep 09, 2019","1,671.22","1,673.22","1,676.62","1,666.61","16.60B","0.07%"
"Sep 06, 2019","1,670.06","1,677.41","1,679.65","1,667.61","15.51B","0.02%"
"Sep 05, 2019","1,669.79","1,670.91","1,673.84","1,663.34","17.97B","0.67%"
"Sep 04, 2019","1,658.64","1,650.87","1,664.56","1,647.29","19.58B","1.00%"
"Sep 03, 2019","1,642.25","1,657.30","1,660.26","1,642.23","19.86B","-0.72%"
"Sep 02, 2019","1,654.11","1,651.20","1,658.66","1,646.59","19.03B","-0.05%"
"Aug 30, 2019","1,654.92","1,647.06","1,654.93","1,643.04","20.14B","0.96%"
"Aug 29, 2019","1,639.14","1,621.92","1,639.17","1,621.06","20.44B","1.37%"
"Aug 28, 2019","1,616.93","1,618.30","1,624.27","1,615.19","15.47B","0.09%"
"Aug 27, 2019","1,615.47","1,625.04","1,630.55","1,612.10","20.27B","-0.45%"
"Aug 26, 2019","1,622.73","1,620.36","1,624.77","1,609.40","24.36B","-1.45%"
"Aug 23, 2019","1,646.68","1,637.70","1,646.74","1,636.20","18.47B","0.80%"
"Aug 22, 2019","1,633.56","1,628.10","1,638.03","1,627.30","21.09B","-0.29%"
"Aug 21, 2019","1,638.24","1,628.55","1,642.07","1,623.24","22.61B","0.78%"
"Aug 20, 2019","1,625.57","1,642.82","1,643.41","1,621.85","20.45B","-0.71%"
"Aug 19, 2019","1,637.26","1,639.42","1,643.65","1,633.79","18.90B","0.36%"
"Aug 16, 2019","1,631.40","1,608.98","1,632.42","1,607.22","23.70B","1.71%"
"Aug 15, 2019","1,604.03","1,605.00","1,614.08","1,590.55","23.10B","-0.95%"
"Aug 14, 2019","1,619.45","1,634.72","1,640.92","1,612.09","20.32B","-0.05%"
"Aug 13, 2019","1,620.23","1,642.82","1,644.15","1,619.03","18.53B","-1.84%"
"Aug 09, 2019","1,650.64","1,672.22","1,675.44","1,649.52","18.17B","-0.87%"
"Aug 08, 2019","1,665.12","1,670.93","1,673.84","1,660.36","18.65B","-0.26%"
"Aug 07, 2019","1,669.44","1,672.52","1,681.81","1,665.14","22.79B","-0.12%"
"Aug 06, 2019","1,671.48","1,652.72","1,673.38","1,647.49","22.90B","0.33%"
"Aug 05, 2019","1,665.99","1,675.02","1,681.36","1,664.73","18.23B","-1.11%"
"Aug 02, 2019","1,684.71","1,680.52","1,687.15","1,671.97","22.86B","-0.88%"
"Aug 01, 2019","1,699.75","1,706.56","1,709.05","1,694.93","18.15B","-0.71%"
"Jul 31, 2019","1,711.97","1,704.04","1,716.05","1,702.72","17.29B","0.32%"
"Jul 30, 2019","1,706.49","1,718.55","1,722.20","1,704.03","17.74B","-0.67%"
"Jul 26, 2019","1,717.97","1,729.26","1,730.08","1,714.81","20.91B","-0.75%"
"Jul 25, 2019","1,730.90","1,727.13","1,732.92","1,725.47","19.92B","0.32%"
"Jul 24, 2019","1,725.44","1,727.81","1,730.71","1,720.60","19.43B","0.03%"
"Jul 23, 2019","1,724.87","1,730.70","1,732.69","1,719.93","20.75B","-0.16%"
"Jul 22, 2019","1,727.58","1,733.24","1,735.88","1,723.64","18.86B","-0.43%"
"Jul 19, 2019","1,735.10","1,734.38","1,738.70","1,732.16","18.94B","0.68%"
"Jul 18, 2019","1,723.44","1,714.75","1,725.94","1,714.41","16.95B","0.27%"
"Jul 17, 2019","1,718.85","1,726.04","1,729.88","1,717.82","20.70B","-0.53%"
"Jul 15, 2019","1,727.98","1,733.77","1,737.65","1,727.98","22.26B","-0.21%"
"Jul 12, 2019","1,731.59","1,744.73","1,746.21","1,728.36","23.53B","-0.51%"
"Jul 11, 2019","1,740.45","1,745.85","1,748.15","1,738.63","20.67B","0.06%"
"Jul 10, 2019","1,739.43","1,726.73","1,741.76","1,724.58","21.54B","1.04%"
"Jul 09, 2019","1,721.48","1,728.46","1,734.35","1,721.33","24.07B","-0.55%"
"Jul 08, 2019","1,731.03","1,727.10","1,734.13","1,722.53","22.71B","-0.01%"
"Jul 05, 2019","1,731.23","1,725.45","1,731.84","1,719.61","21.48B","0.40%"
"Jul 04, 2019","1,724.37","1,741.31","1,747.11","1,714.98","24.95B","-0.81%"
"Jul 03, 2019","1,738.51","1,733.51","1,742.17","1,729.79","20.72B","0.36%"
"Jul 02, 2019","1,732.23","1,738.84","1,741.64","1,730.05","19.69B","-0.50%"
"Jul 01, 2019","1,740.91","1,744.13","1,747.53","1,739.48","21.55B","0.61%"
"Jun 28, 2019","1,730.34","1,731.89","1,735.61","1,729.46","14.14B","-0.08%"
"Jun 27, 2019","1,731.64","1,726.77","1,735.88","1,725.55","17.21B","0.55%"
"Jun 26, 2019","1,722.21","1,717.19","1,723.24","1,715.41","16.24B","0.05%"
"Jun 25, 2019","1,721.33","1,716.05","1,725.42","1,707.77","18.85B","0.31%"
"Jun 24, 2019","1,716.00","1,722.64","1,724.23","1,713.02","15.07B","-0.07%"
"Jun 21, 2019","1,717.14","1,722.60","1,727.83","1,714.09","19.62B","-0.04%"
"Jun 20, 2019","1,717.82","1,711.37","1,722.90","1,708.12","20.22B","0.69%"
"Jun 19, 2019","1,705.98","1,693.85","1,711.89","1,691.95","22.63B","1.33%"
"Jun 18, 2019","1,683.60","1,667.30","1,683.78","1,665.19","18.54B","0.98%"
"Jun 17, 2019","1,667.23","1,674.26","1,678.20","1,667.15","14.07B","-0.30%"
"Jun 14, 2019","1,672.33","1,673.55","1,675.90","1,667.38","12.60B","-0.11%"
"Jun 13, 2019","1,674.14","1,669.53","1,675.84","1,663.39","16.04B","0.18%"
"Jun 12, 2019","1,671.11","1,669.08","1,672.50","1,665.02","12.87B","0.04%"
"Jun 11, 2019","1,670.41","1,667.55","1,675.60","1,663.36","14.78B","0.34%"
"Jun 10, 2019","1,664.73","1,661.72","1,667.69","1,661.37","14.46B","0.68%"
"Jun 07, 2019","1,653.50","1,656.84","1,658.93","1,650.30","11.47B","0.01%"
"Jun 06, 2019","1,653.41","1,648.54","1,655.33","1,643.27","14.48B","0.30%"
"Jun 05, 2019","1,648.46","1,647.52","1,650.70","1,642.35","14.41B","0.66%"
"Jun 04, 2019","1,637.69","1,624.65","1,640.54","1,622.99","17.86B","1.08%"
"May 31, 2019","1,620.22","1,620.58","1,627.33","1,612.17","15.76B","-0.08%"
"May 30, 2019","1,621.57","1,619.26","1,628.37","1,618.63","14.35B","0.14%"
"May 29, 2019","1,619.36","1,631.29","1,632.06","1,618.71","15.38B","-0.78%"
"May 28, 2019","1,632.04","1,627.86","1,632.47","1,618.33","20.56B","0.44%"
"May 27, 2019","1,624.84","1,619.66","1,628.34","1,614.05","13.46B","0.66%"
"May 24, 2019","1,614.12","1,604.67","1,617.62","1,599.10","14.48B","0.27%"
"May 23, 2019","1,609.79","1,622.21","1,625.98","1,608.26","13.44B","-1.05%"
"May 22, 2019","1,626.91","1,616.55","1,628.06","1,616.49","14.19B","1.02%"
"May 21, 2019","1,610.49","1,608.82","1,616.55","1,602.56","13.95B","0.15%"
"May 17, 2019","1,608.11","1,618.99","1,622.33","1,606.69","14.05B","-0.41%"
"May 16, 2019","1,614.75","1,623.33","1,626.08","1,604.76","17.34B","-0.40%"
"May 15, 2019","1,621.27","1,636.83","1,638.94","1,621.27","13.01B","-0.77%"
"May 14, 2019","1,633.84","1,631.52","1,639.63","1,629.56","13.00B","-0.38%"
"May 13, 2019","1,640.13","1,648.09","1,652.33","1,634.93","11.92B","-0.52%"
"May 10, 2019","1,648.69","1,654.26","1,656.37","1,638.71","15.60B","0.11%"
"May 09, 2019","1,646.80","1,653.12","1,659.38","1,646.07","13.98B","-0.44%"
"May 08, 2019","1,654.01","1,662.05","1,663.40","1,650.24","14.91B","-0.94%"
"May 07, 2019","1,669.68","1,669.38","1,675.16","1,665.58","13.56B","-0.56%"
"May 03, 2019","1,679.05","1,676.57","1,682.06","1,676.01","11.84B","-0.01%"
"May 02, 2019","1,679.17","1,677.00","1,682.50","1,675.90","12.84B","0.34%"
"Apr 30, 2019","1,673.52","1,668.02","1,676.64","1,667.29","11.31B","0.41%"
"Apr 29, 2019","1,666.68","1,665.57","1,669.55","1,663.33","9.39B","-0.03%"
"Apr 26, 2019","1,667.15","1,673.28","1,674.01","1,663.14","10.86B","-0.37%"
"Apr 25, 2019","1,673.32","1,673.25","1,678.19","1,670.84","9.01B","-0.01%"
"Apr 24, 2019","1,673.43","1,674.43","1,676.84","1,668.06","10.80B","0.13%"
"Apr 23, 2019","1,671.31","1,674.82","1,679.26","1,670.75","10.66B","-0.13%"
"Apr 22, 2019","1,673.48","1,677.83","1,683.79","1,673.44","12.46B","-0.04%"
"Apr 19, 2019","1,674.10","1,675.37","1,679.75","1,671.83","9.12B","-0.05%"
"Apr 18, 2019","1,675.00","1,674.74","1,677.14","1,667.70","10.63B","0.11%"
"Apr 17, 2019","1,673.20","1,665.68","1,676.00","1,664.04","12.41B","0.77%"
"Apr 12, 2019","1,660.45","1,658.00","1,662.60","1,654.46","9.08B","0.08%"
"Apr 11, 2019","1,659.09","1,661.57","1,662.53","1,656.33","9.34B","-0.18%"
"Apr 10, 2019","1,662.13","1,659.29","1,664.68","1,658.26","9.97B","0.26%"
"Apr 09, 2019","1,657.74","1,650.55","1,660.31","1,648.23","11.02B","0.70%"
"Apr 05, 2019","1,646.18","1,646.03","1,649.99","1,643.13","8.16B","0.12%"
"Apr 04, 2019","1,644.22","1,649.39","1,650.75","1,640.01","9.79B","-0.29%"
"Apr 03, 2019","1,649.06","1,653.08","1,654.02","1,646.01","14.50B","-0.15%"
"Apr 02, 2019","1,651.48","1,650.54","1,655.09","1,647.93","10.51B","0.42%"
"Apr 01, 2019","1,644.64","1,645.37","1,651.14","1,644.22","11.05B","0.37%"
"Mar 29, 2019","1,638.65","1,639.31","1,644.27","1,635.24","11.08B","0.27%"
"Mar 28, 2019","1,634.25","1,626.60","1,637.60","1,625.77","15.46B","0.30%"
"Mar 27, 2019","1,629.40","1,632.27","1,635.43","1,624.26","14.08B","-0.18%"
"Mar 26, 2019","1,632.32","1,626.89","1,634.19","1,622.94","13.04B","0.39%"
"Mar 25, 2019","1,625.91","1,632.03","1,636.93","1,617.89","13.72B","-1.24%"
"Mar 22, 2019","1,646.29","1,636.69","1,646.94","1,633.67","13.68B","0.75%"
"Mar 21, 2019","1,634.00","1,631.79","1,640.04","1,631.41","12.44B","0.39%"
"Mar 20, 2019","1,627.62","1,631.44","1,635.42","1,626.97","12.32B","-0.15%"
"Mar 19, 2019","1,630.09","1,617.87","1,633.26","1,617.01","13.41B","0.77%"
"Mar 18, 2019","1,617.57","1,628.85","1,630.45","1,612.85","13.55B","-0.49%"
"Mar 15, 2019","1,625.57","1,636.82","1,639.10","1,625.41","13.57B","-0.63%"
"Mar 14, 2019","1,635.88","1,642.36","1,643.56","1,634.70","12.73B","-0.23%"
"Mar 13, 2019","1,639.67","1,626.42","1,639.69","1,623.75","12.90B","0.74%"
"Mar 12, 2019","1,627.59","1,631.88","1,633.97","1,624.55","12.35B","0.01%"
"Mar 11, 2019","1,627.43","1,633.45","1,636.20","1,625.06","10.92B","-0.17%"
"Mar 08, 2019","1,630.12","1,631.69","1,637.46","1,626.33","12.50B","-0.19%"
"Mar 07, 2019","1,633.21","1,624.76","1,635.77","1,623.32","12.83B","0.47%"
"Mar 06, 2019","1,625.51","1,636.68","1,639.42","1,624.68","14.35B","-0.82%"
"Mar 05, 2019","1,639.00","1,633.51","1,641.56","1,629.55","12.92B","0.23%"
"Mar 04, 2019","1,635.30","1,641.32","1,643.53","1,632.83","16.04B","-0.37%"
"Mar 01, 2019","1,641.44","1,655.27","1,656.64","1,640.57","15.18B","-0.73%"
"Feb 28, 2019","1,653.48","1,666.33","1,666.74","1,652.71","14.37B","-0.71%"
"Feb 27, 2019","1,665.27","1,663.92","1,668.61","1,659.62","14.82B","0.10%"
"Feb 26, 2019","1,663.56","1,665.89","1,670.77","1,662.81","14.78B","-0.49%"
"Feb 25, 2019","1,671.75","1,665.30","1,674.54","1,664.92","14.26B","0.76%"
"Feb 22, 2019","1,659.20","1,645.33","1,661.09","1,644.51","13.64B","0.72%"
"Feb 21, 2019","1,647.32","1,646.96","1,651.80","1,642.49","11.95B","0.12%"
"Feb 20, 2019","1,645.38","1,639.16","1,647.21","1,636.12","12.47B","0.59%"
"Feb 18, 2019","1,635.71","1,644.99","1,647.74","1,635.71","10.60B","-0.08%"
"Feb 15, 2019","1,636.94","1,651.10","1,652.06","1,634.87","14.86B","-0.95%"
"Feb 14, 2019","1,652.64","1,658.41","1,659.52","1,650.13","12.78B","-0.19%"
"Feb 13, 2019","1,655.73","1,649.09","1,657.12","1,645.84","13.09B","0.81%"
"Feb 12, 2019","1,642.49","1,637.48","1,645.63","1,635.54","10.87B","0.27%"
"Feb 11, 2019","1,638.00","1,644.75","1,647.49","1,632.82","13.05B","-0.83%"
"Feb 08, 2019","1,651.68","1,647.63","1,657.58","1,637.58","17.34B","-0.09%"
"Feb 07, 2019","1,653.11","1,659.94","1,667.01","1,649.50","14.23B","-0.34%"
"Feb 06, 2019","1,658.71","1,655.14","1,663.49","1,653.00","11.17B","0.34%"
"Feb 05, 2019","1,653.09","1,653.53","1,654.98","1,645.57","8.18B","-0.03%"
"Feb 04, 2019","1,653.62","1,655.42","1,659.26","1,652.14","9.65B","0.13%"
"Feb 01, 2019","1,651.40","1,644.61","1,655.34","1,642.24","12.02B","0.59%"
"Jan 31, 2019","1,641.73","1,640.34","1,649.85","1,639.90","13.67B","0.56%"
"Jan 30, 2019","1,632.60","1,626.55","1,632.83","1,622.59","11.90B","0.53%"
"Jan 29, 2019","1,624.05","1,623.00","1,625.36","1,616.45","12.73B","-0.06%"
"Jan 28, 2019","1,625.03","1,627.71","1,634.70","1,622.58","12.35B","0.09%"
"Jan 25, 2019","1,623.62","1,625.59","1,628.62","1,617.78","13.25B","0.19%"
"Jan 24, 2019","1,620.53","1,619.12","1,628.21","1,614.56","14.53B","0.19%"
"Jan 23, 2019","1,617.38","1,601.72","1,620.51","1,600.35","17.19B","0.97%"
"Jan 22, 2019","1,601.77","1,587.82","1,601.80","1,586.19","12.68B","0.84%"
"Jan 21, 2019","1,588.38","1,586.72","1,595.16","1,585.24","11.69B","0.29%"
"Jan 18, 2019","1,583.77","1,585.07","1,588.75","1,577.86","12.08B","0.22%"
"Jan 17, 2019","1,580.30","1,578.14","1,586.88","1,576.84","12.52B","0.18%"
"Jan 16, 2019","1,577.41","1,581.37","1,582.44","1,565.48","16.49B","0.03%"
"Jan 15, 2019","1,577.00","1,587.17","1,590.15","1,574.37","12.27B","-0.35%"
"Jan 14, 2019","1,582.57","1,592.58","1,594.06","1,580.56","12.26B","-0.91%"
"Jan 11, 2019","1,597.04","1,591.21","1,597.18","1,586.93","12.09B","0.59%"
"Jan 10, 2019","1,587.63","1,590.07","1,599.10","1,579.20","14.42B","-0.18%"
"Jan 09, 2019","1,590.50","1,604.21","1,609.39","1,587.53","11.74B","-0.22%"
"Jan 08, 2019","1,594.00","1,594.07","1,597.35","1,587.47","10.79B","0.08%"
"Jan 07, 2019","1,592.72","1,584.74","1,596.97","1,582.69","11.99B","1.12%"
"Jan 04, 2019","1,575.13","1,559.63","1,575.13","1,550.22","13.89B","0.97%"
"Jan 03, 2019","1,560.03","1,571.48","1,578.17","1,556.77","11.33B","-0.38%"
"Jan 02, 2019","1,565.94","1,567.09","1,575.22","1,563.66","10.19B","0.13%"
"Dec 28, 2018","1,563.88","1,550.87","1,564.02","1,549.70","10.43B","1.00%"
"Dec 27, 2018","1,548.37","1,582.22","1,585.77","1,546.62","13.74B","-0.55%"
"Dec 26, 2018","1,556.93","1,556.95","1,562.00","1,548.99","11.27B","0.02%"
"Dec 25, 2018","1,556.65","1,576.40","1,576.75","1,555.00","11.28B","-2.18%"
"Dec 24, 2018","1,591.29","1,589.69","1,599.89","1,588.56","9.81B","-0.25%"
